Day, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024
 01, work, work, work, work,    0,    0, work,    2, work,    0
 02, work, work, work, work,    0,    0, work,    2, work,    0
 03, work, work, work, work,    0,    0, work,    2, work,    0
 04, work, work, work, work,    0,    0, work,    2, work,    0
 05, work, work, work, work,    0,    0, work,    2, work,    0
 06, work, work, work, work,    0,    0, work,    2, work,    0
 07, work, work, work, work,    0,    0, work,    2, work,    0
 08, work, work, work, work,    0,    0, work,    0, work,    0
 09, work, work, work, work,    0,    0, work,    0, work,    0
 10, work, work, work, work,    0,    0, work,    0, work,    0
 11, work, work, work, work,    0,    0, work,    0, work,    0
 12, work, work, work, work,    0,    0, work,    0, work,    0
 13, work, work, work, work,    0,    0, work,    0, work,    0
 14, work, work, work, work,    0,    0,    1,    0, work,    0
 15, work, work, work,    0,    0,    0,    0,    0, work,    0
 16, work, work, work, work,    0,    0, work,    0, work,    0
 17, work, work, work, work,    0,    0, work,    0, work,    0
 18, work, work, work,    0,    0,    0,    0,    0, work,    0
 19, work, work, work, work,    0,    0,    0,    0, work,    0
 20, work, work, work,    0,    0,    0, work,    0, work,    0
 21, work, work, work, work,    0,    0, work,    0, work,    0
 22, work, work, work,    0,    0,    0,    1,    0, work,    0
 23, work, work, work,    0,    0,    0,    0,    0, work,    0
 24, work, work, work,    0,    0,    0,    0,    0, work,    0
 25, work, work, work,    0,    0,    0,    0,    0, work,    0
